HDFC Top 100 Fund,Kotak Emerging Equity Fund,Quant Small Cap Fund,HDFC Gold ETF FoF,Invesco India Credit Risk Fund,Quant Multi Asset Fund
0.474,0.875,0.1184,-0.1005,0.112,0.0738
0.5004810997,0.9,0.1231,-0.1002525007,0.113,0.074
0.516,0.92,0.1178,-0.1126,0.112,0.07410337755
0.517,0.914,0.1253,-0.1077,0.111,0.0741
0.4811405147,0.8808980213,0.1262,-0.1018,0.112,0.0741
0.4816252116,0.8689629069,0.1266310535,-0.0882,0.112,0.0743
0.512,0.902,0.1258,-0.1006,0.112,0.07427615474
0.522,0.926,0.1259,-0.1022,0.111,0.0736
0.509,0.942,0.1255,-0.1036500552,0.112,0.0737
0.505,0.951,0.1253,-0.0947,0.1115939141,0.0739
0.487,0.949,0.1263,-0.1017,0.11,0.0739
0.526,0.963,0.1266,-0.09980222855,0.11,0.07488473523
0.540338206,0.9920807453,0.1274,-0.0748,0.111,0.075
0.5330279715,0.999,0.126039806,-0.0767,0.114,0.0747
0.54,1,0.1284,-0.0668,0.113,0.0745
0.545,1.000076628,0.1291629358,-0.05828170615,0.113,0.0745
0.55,1.007,0.1298,-0.0636,0.114,0.07455018758
0.5895578511,1.028,0.1326,-0.0674,0.1141269597,0.0746
0.649,1.081,0.1329952137,-0.0795,0.112,0.07488427254
0.653,1.102,0.1341,-0.0707,0.112,0.0748
0.6525611383,1.106,0.1351,-0.0771,0.1124269598,0.0747
0.641,1.099523386,0.1379,-0.0781,0.1122374075,0.0748
0.618,1.077,0.1352,-0.0697,0.112,0.07520878583
0.6290433368,1.079310345,0.1338,-0.0702,0.112,0.0748
0.612,1.07,0.1316,-0.0833,0.111,0.0746
0.5920071765,1.039,0.1324,-0.0801,0.111,0.0746
0.581,1.022050012,0.1318,-0.0774,0.111,0.0746
0.535,0.984,0.1319,-0.0884,0.11,0.07497393158
0.549,0.984,0.1307,-0.1018,0.11,0.07468179493
0.562,1.003,0.1324,-0.1038,0.109,0.0747
0.57,1.021,0.1357,-0.1071,0.109,0.0746
0.6161516216,1.064,0.1363,-0.1107,0.109,0.0749
0.6,1.064,0.1359,-0.1078153089,0.109,0.07522414254
0.604,1.084,0.1350411726,-0.1313,0.1079743256,0.075
0.592,1.067537609,0.1349,-0.1351281051,0.107,0.07501525088
0.581,1.059,0.1356,-0.1388,0.106,0.0751
0.5829959694,1.054,0.1356,-0.1458,0.105,0.0755
0.565,1.015,0.1357,-0.1443,0.104,0.0754
0.558,1.001006971,0.1359479007,-0.1433701426,0.1036777668,0.075
0.534,0.981,0.1377,-0.1458,0.103,0.0752
0.562,1.013,0.1382066754,-0.1493,0.1041914464,0.075
0.575,1.042,0.1373,-0.1392,0.104,0.0749
0.596,1.062,0.139,-0.1497,0.104,0.0746341315
0.553,1.023,0.1379,-0.1477,0.104,0.07506683043
0.536,1.025,0.1381,-0.1411882729,0.104,0.075
0.4837270396,0.983,0.1358,-0.1391,0.1041071375,0.07570372341
0.45,0.967,0.1347373777,-0.1479,0.104,0.0754
0.442,0.962,0.1346,-0.144,0.103,0.075
0.469,0.968,0.1298,-0.147,0.103,0.0753
0.451,0.952,0.1298,-0.1476,0.103,0.0749
0.456,0.955,0.1304,-0.144,0.103,0.0752
0.464,0.9790888723,0.1303685941,-0.149,0.102,0.07521819845
0.4525447379,0.975,0.129,-0.1546,0.101,0.0752
0.437,0.956,0.1287,-0.1435,0.1002716446,0.075453304
0.436,0.935,0.1292,-0.1299,0.101,0.0753
0.4223558877,0.9086700955,0.128,-0.1291,0.101,0.0754
0.403,0.886,0.1262,-0.12,0.101,0.0751
0.394,0.88,0.125266456,-0.1115,0.101,0.0749
0.359,0.858,0.1255635273,-0.0928,0.1,0.075
0.3563316863,0.845,0.1262,-0.0976,0.1,0.0751
0.362,0.849,0.1268,-0.0992,0.1,0.07553558983
0.359,0.8496538081,0.1259,-0.111,0.098,0.0764
0.371,0.891,0.1253,-0.1063,0.097,0.07732555938
0.36,0.884,0.1286989046,-0.0861,0.099,0.0773
0.3707229945,0.89,0.1298264845,-0.0906,0.09971712481,0.07729079142
0.385,0.8909722222,0.1311,-0.0943,0.1,0.0773
0.398,0.907,0.1318,-0.09893208957,0.1,0.077
0.374,0.888,0.1314,-0.1031,0.1001668821,0.0773
0.379,0.893,0.1331198683,-0.1128,0.1,0.07739593966
0.376,0.874,0.1315,-0.1169,0.099,0.0774
0.3835597407,0.867,0.1305174977,-0.1152,0.1,0.0768934386
0.382,0.8515235457,0.132,-0.1067,0.09997063227,0.0772
0.332,0.8,0.1304,-0.1005,0.099,0.07723736878
0.314,0.768,0.1271,-0.0898,0.09909610266,0.0768
0.32,0.766,0.127,-0.1085,0.099,0.0767
0.308,0.763,0.1284,-0.1194898252,0.1,0.0767
0.297,0.739,0.1289,-0.1163,0.1,0.0769
0.2803469964,0.699,0.1283,-0.125,0.1,0.0766
0.315,0.718,0.1277,-0.1105,0.1,0.07657404721
0.317,0.74,0.1295,-0.113,0.101,0.0765
0.309,0.734,0.1282,-0.1177,0.101,0.0769
0.3268632584,0.758,0.1261,-0.1254,0.09911584202,0.0765
0.32,0.7536407767,0.1243,-0.1235,0.098,0.0765
0.285,0.709,0.1239,-0.1151,0.098,0.0764
0.267,0.67,0.1248,-0.1057,0.096,0.0764
0.246,0.675,0.1248,-0.1042225783,0.095124067,0.0769
0.246,0.685,0.124,-0.09910958505,0.095,0.0765
0.1887854344,0.641,0.1249,-0.0953,0.095,0.0765
0.199,0.656,0.1232,-0.0898,0.095,0.0764
0.204,0.678,0.124,-0.0804,0.0953763358,0.0763
0.1828870405,0.6822913299,0.1246,-0.0667,0.096,0.0763
0.162,0.659,0.1237,-0.0469,0.095,0.0763
0.162,0.6291640867,0.1222,-0.04494325448,0.094,0.076
0.172,0.607,0.1203,-0.0533,0.09441683163,0.076
0.159,0.587,0.1188967906,-0.025,0.095,0.07603271677
0.131,0.5673551997,0.120054624,-0.0246,0.094,0.076
0.127,0.58,0.119,-0.027,0.094,0.076
0.1362948124,0.581,0.1179,-0.0192,0.095,0.076
0.137,0.5719844358,0.1171,-0.02004217185,0.094,0.0761
0.152,0.566,0.1168,-0.0117,0.096,0.0762
0.174,0.565,0.1149650013,-0.0122,0.09620027161,0.0763
0.1474624538,0.535,0.1116,-0.0078,0.096,0.0763
0.112,0.503,0.1092,-0.003,0.097,0.07630228813
0.09264860557,0.454,0.1078,-0.00458877515,0.097,0.0762
0.079,0.447,0.1064176121,-0.0005,0.097,0.0763
0.058,0.431,0.1068,-0.0103,0.096,0.0762
0.035,0.407,0.1059515158,-0.0037,0.095,0.0762
0.039,0.409,0.1037669812,-0.005863964644,0.095,0.0715
0.055,0.423,0.1035,-0.0105,0.09352649414,0.0715
0.03,0.391,0.1049,-0.0178972833,0.09,0.0714
0.059,0.414,0.105,-0.0263,0.089,0.0714
0.059,0.412,0.1058,-0.0454903179,0.089,0.0714
0.048,0.391,0.1083017606,-0.0416,0.089,0.07144318431
0.063,0.4061557031,0.1101,-0.0389,0.091,0.0715
0.08,0.426,0.111,-0.0423,0.09,0.0714
0.094,0.435,0.1132,-0.0627,0.091,0.0714
0.1097454475,0.453,0.1116,-0.0633,0.091,0.0714
0.098,0.448,0.1111,-0.0701,0.092,0.0715
0.094,0.444,0.1111681976,-0.0682,0.093,0.0715
0.113,0.442,0.1111,-0.06411071246,0.093,0.07145563273
0.1049857032,0.438,0.1114,-0.0685,0.09306319199,0.07149168399
0.074,0.399,0.1114,-0.06276856967,0.093,0.0715
0.077,0.403724057,0.1105,-0.06897851105,0.094,0.0715
0.079,0.398,0.1103,-0.0716,0.094,0.0719
0.07949109256,0.395,0.1102,-0.0689,0.095,0.0718
0.078,0.3969791667,0.1094,-0.0668,0.096,0.0734
0.08167434099,0.413,0.1098,-0.0724,0.096,0.07229174698
0.117,0.45,0.1093,-0.0632,0.098,0.0723
0.1082885377,0.44,0.1098,-0.06596251424,0.098,0.0722
0.108,0.441,0.1109,-0.08160837739,0.098,0.07248545919
0.148,0.466,0.1119,-0.0844,0.098,0.06726596863
0.157,0.477,0.111410681,-0.0852,0.1,0.07
0.133,0.456575416,0.1107,-0.0872,0.097,0.06908586232
0.12,0.447,0.1101,-0.07980037045,0.097,0.0687
0.127,0.451,0.1107,-0.0832,0.098,0.069
0.132,0.458,0.1102,-0.0889,0.09875040829,0.06924982438
0.132,0.452,0.1083733685,-0.0866,0.1,0.0696
0.12,0.427,0.1074212515,-0.0926,0.09992536478,0.0709
0.129,0.432,0.107,-0.0974,0.1,0.07255951787
